"","X.3","X.2","X.1","X","ID","Timing","Order","Q1Gender","Q2Age","Q3Distance","Q4Trips","Q5Knowledge","Q6Bid","Q7Bid","Q6ResearchResponse","Q6ResearchCertainty","Q7TreatmentResponse","Q7TreatmentCertainty","Q8DominatedTest","Choice","Q9Block","Q10Block","Q11Block","Q12Block","Q12CECertainty","Q13CurrentThreatToSelf","Q14FutureThreatToSelf","Q15ThreatToEnvironment","Q16BP","Q18Charity","Q19Knowledge","Q20Consequentiality","Q21Experts","Q22Education","Q23Employment","Q24RonaImpact","Q24AIncome","Q25Understanding","Q7Bid2","Q7Response2","Task","av_A","av_B","alt","Price","Performance","Emission","chid","PriceCoef","EmissionCoef","PerformanceCoef","Q6WTP","Q7WTP","Precaution","Q17_Firms","Q17_Cons","Q17_Gov","Q17_LA","Q17_Other","cs","Protestors","FullSurvey2.Q7WTPSB","PrecautionProportion","e0.5","e0.75","e1","e1.25","e1.5","Q6Pro","Q7Pro","LCM2Class","ResearchPointNB","ResearchLowerNB","ResearchUpperNB","WWTPPointNB","WWTPLowerNB","WWTPUpperNB","CosmeticsPointNB","CosmeticsLowerNB","CosmeticsUpperNB"
"1",1,1,1,"1.A",1,194,0,1,32.5,50,1,3,60,60,1,1,1,2,0,FALSE,3,1,1,3,1,3,3,3,1,0,2,0,3,3,4,0,750,8,120,1,1,1,1,"A",0,0,0,1,-0.0013670825373013,6.99944552391168,-8.20974251616978,25.9640312108949,49.5102397876928,23.5462085767979,1,1,0,0,0,1,0,50.3625173992808,0.261624539742199,1.69693900598983,2.21054494155657,2.87960199004975,3.75115993582086,4.88650893864136,0.28848923567661,0.550113775418809,2,25.2446067504632,25.784175095787,22.3669089087366,0.22966424812445,13.5390167661101,-130.345875320221,656.031508912907,656.031508912907,656.031508912907
"2",2,2,2,"1.B",1,194,0,1,32.5,50,1,3,60,60,1,1,1,2,0,TRUE,3,1,1,3,1,3,3,3,1,0,2,0,3,3,4,0,750,8,120,1,1,1,1,"B",5,5,10,1,-0.0013670825373013,6.99944552391168,-8.20974251616978,25.9640312108949,49.5102397876928,23.5462085767979,1,1,0,0,0,1,0,50.3625173992808,0.261624539742199,1.69693900598983,2.21054494155657,2.87960199004975,3.75115993582086,4.88650893864136,0.28848923567661,0.550113775418809,2,25.2446067504632,25.784175095787,22.3669089087366,0.22966424812445,13.5390167661101,-130.345875320221,656.031508912907,656.031508912907,656.031508912907
"3",3,3,3,"2.A",1,194,0,1,32.5,50,1,3,60,60,1,1,1,2,0,TRUE,3,1,1,3,1,3,3,3,1,0,2,0,3,3,4,0,750,8,120,1,2,1,1,"A",0,0,0,2,-0.278283521718256,0.03438514680082,-0.0403307948681155,25.9640312108949,49.5102397876928,23.5462085767979,1,1,0,0,0,0,0,50.3625173992808,0.261624539742199,1.69693900598983,2.21054494155657,2.87960199004975,3.75115993582086,4.88650893864136,0.28848923567661,0.550113775418809,2,25.2446067504632,25.784175095787,22.3669089087366,0.22966424812445,13.5390167661101,-130.345875320221,-40.4745287981789,-40.4745287981789,-40.4745287981789
"4",4,4,4,"2.B",1,194,0,1,32.5,50,1,3,60,60,1,1,1,2,0,FALSE,3,1,1,3,1,3,3,3,1,0,2,0,3,3,4,0,750,8,120,1,2,1,1,"B",0.5,10,10,2,-0.278283521718256,0.03438514680082,-0.0403307948681155,25.9640312108949,49.5102397876928,23.5462085767979,1,1,0,0,0,0,0,50.3625173992808,0.261624539742199,1.69693900598983,2.21054494155657,2.87960199004975,3.75115993582086,4.88650893864136,0.28848923567661,0.550113775418809,2,25.2446067504632,25.784175095787,22.3669089087366,0.22966424812445,13.5390167661101,-130.345875320221,-40.4745287981789,-40.4745287981789,-40.4745287981789
"5",5,5,5,"3.A",1,194,0,1,32.5,50,1,3,60,60,1,1,1,2,0,FALSE,3,1,1,3,1,3,3,3,1,0,2,0,3,3,4,0,750,8,120,1,3,1,1,"A",0,0,0,3,-0.149331292927794,0.0640777934679652,-0.0751576940743598,25.9640312108949,49.5102397876928,23.5462085767979,1,1,0,0,0,1,0,50.3625173992808,0.261624539742199,1.69693900598983,2.21054494155657,2.87960199004975,3.75115993582086,4.88650893864136,0.28848923567661,0.550113775418809,2,25.2446067504632,25.784175095787,22.3669089087366,0.22966424812445,13.5390167661101,-130.345875320221,-37.5052641314643,-37.5052641314643,-37.5052641314643
"6",6,6,6,"3.B",1,194,0,1,32.5,50,1,3,60,60,1,1,1,2,0,TRUE,3,1,1,3,1,3,3,3,1,0,2,0,3,3,4,0,750,8,120,1,3,1,1,"B",2.5,5,90,3,-0.149331292927794,0.0640777934679652,-0.0751576940743598,25.9640312108949,49.5102397876928,23.5462085767979,1,1,0,0,0,1,0,50.3625173992808,0.261624539742199,1.69693900598983,2.21054494155657,2.87960199004975,3.75115993582086,4.88650893864136,0.28848923567661,0.550113775418809,2,25.2446067504632,25.784175095787,22.3669089087366,0.22966424812445,13.5390167661101,-130.345875320221,-37.5052641314643,-37.5052641314643,-37.5052641314643
"7",7,7,7,"4.A",1,194,0,1,32.5,50,1,3,60,60,1,1,1,2,0,TRUE,3,1,1,3,1,3,3,3,1,0,2,0,3,3,4,0,750,8,120,1,4,1,1,"A",0,0,0,4,-0.309571241102481,0.0309099117620028,-0.036254645585377,25.9640312108949,49.5102397876928,23.5462085767979,1,1,0,0,0,0,0,50.3625173992808,0.261624539742199,1.69693900598983,2.21054494155657,2.87960199004975,3.75115993582086,4.88650893864136,0.28848923567661,0.550113775418809,2,25.2446067504632,25.784175095787,22.3669089087366,0.22966424812445,13.5390167661101,-130.345875320221,-40.8220523020606,-40.8220523020606,-40.8220523020606
"8",8,8,8,"4.B",1,194,0,1,32.5,50,1,3,60,60,1,1,1,2,0,FALSE,3,1,1,3,1,3,3,3,1,0,2,0,3,3,4,0,750,8,120,1,4,1,1,"B",1,10,40,4,-0.309571241102481,0.0309099117620028,-0.036254645585377,25.9640312108949,49.5102397876928,23.5462085767979,1,1,0,0,0,0,0,50.3625173992808,0.261624539742199,1.69693900598983,2.21054494155657,2.87960199004975,3.75115993582086,4.88650893864136,0.28848923567661,0.550113775418809,2,25.2446067504632,25.784175095787,22.3669089087366,0.22966424812445,13.5390167661101,-130.345875320221,-40.8220523020606,-40.8220523020606,-40.8220523020606
"9",9,9,9,"5.A",2,347,0,0,47.5,50,0,2,40,40,0,1,0,1,0,TRUE,2,4,3,3,1,3,3,3,1,0,2,2,3,3,6,1,2750,10,20,1,1,1,1,"A",0,0,0,5,-0.30882872276912,0.0309842286064986,-0.0363418127982427,11.9862694815896,42.557732918048,30.5714634364585,1,0,0,0,0,0,0,43.660964291082,0.0926407982922985,0.886197493387504,0.83424915597022,0.785345997286296,0.73930951088145,0.695971654237025,0.0363220287320897,0.128962827024388,2,11.2668450211579,11.8064133664817,8.38914717943133,-6.72284262152034,6.58650989646527,-137.298382189866,-40.814620617611,-40.814620617611,-40.814620617611
"10",10,10,10,"5.B",2,347,0,0,47.5,50,0,2,40,40,0,1,0,1,0,FALSE,2,4,3,3,1,3,3,3,1,0,2,2,3,3,6,1,2750,10,20,1,1,1,1,"B",1,50,90,5,-0.30882872276912,0.0309842286064986,-0.0363418127982427,11.9862694815896,42.557732918048,30.5714634364585,1,0,0,0,0,0,0,43.660964291082,0.0926407982922985,0.886197493387504,0.83424915597022,0.785345997286296,0.73930951088145,0.695971654237025,0.0363220287320897,0.128962827024388,2,11.2668450211579,11.8064133664817,8.38914717943133,-6.72284262152034,6.58650989646527,-137.298382189866,-40.814620617611,-40.814620617611,-40.814620617611
"11",11,11,11,"6.A",2,347,0,0,47.5,50,0,2,40,40,0,1,0,1,0,TRUE,2,4,3,3,1,3,3,3,1,0,2,2,3,3,6,1,2750,10,20,1,2,1,1,"A",0,0,0,6,-0.301059504241059,0.031783815530599,-0.037279658909586,11.9862694815896,42.557732918048,30.5714634364585,1,0,0,0,0,0,0,43.660964291082,0.0926407982922985,0.886197493387504,0.83424915597022,0.785345997286296,0.73930951088145,0.695971654237025,0.0363220287320897,0.128962827024388,2,11.2668450211579,11.8064133664817,8.38914717943133,-6.72284262152034,6.58650989646527,-137.298382189866,-40.734661925201,-40.734661925201,-40.734661925201
"12",12,12,12,"6.B",2,347,0,0,47.5,50,0,2,40,40,0,1,0,1,0,FALSE,2,4,3,3,1,3,3,3,1,0,2,2,3,3,6,1,2750,10,20,1,2,1,1,"B",1,5,10,6,-0.301059504241059,0.031783815530599,-0.037279658909586,11.9862694815896,42.557732918048,30.5714634364585,1,0,0,0,0,0,0,43.660964291082,0.0926407982922985,0.886197493387504,0.83424915597022,0.785345997286296,0.73930951088145,0.695971654237025,0.0363220287320897,0.128962827024388,2,11.2668450211579,11.8064133664817,8.38914717943133,-6.72284262152034,6.58650989646527,-137.298382189866,-40.734661925201,-40.734661925201,-40.734661925201
