Respondent,InterviewDuration,RandVar,S1,Q01,Q02,Q03,Q04,Q05,Q06Num,Q07Num,Q06,Q06a,Q06b,Q06b_TXT,Q06c,Q07,Q07a,Q07bNum,Q07cNum,Q07b,Q07c,Q07d,Q07d_TXT,Q08,Q08b,Q08b_TXT,Q09Var,Q09varA,Q09varB,Q09varC,Q10Var,Q10varA,Q10varB,Q10varC,Q11Var,Q11varA,Q11varB,Q11varC,Q12Var,Q12varA,Q12varB,Q12varC,Q09,Q10,Q11,Q12,Q12b,Q13,Q14,Q15,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_80,Q17_TXT,Q18,Q19,Q20,Q21,Q22,Q23,Q24a,Q24,Q25,Q26,Q26_TXT
4,194,2,Yes,Male,26-39,50+ miles,01-Feb,Average knowledge,60,60,Yes,Quite sure,,,Question skipped,Yes,Very sure,120,,Yes,Question skipped,,,Option A,Chosen,Don't know,3,5%,10%,£5,1,10%,10%,£0.50,1,5%,90%,£2.50,3,10%,40%,£1,Option B,Option A,Option B,Option A,Quite sure,3,3,3,Some of it,Chosen,Chosen,Not chosen,Not chosen,Not chosen,,No,Little knowledge,No,3,Bachelor’s degree,Part-time employment,No,£501-£1000,8,Chosen,No further comments
5,347,2,Yes,Female,40-55,21-49 miles,0,Little knowledge,40,40,No,Quite sure,,Can’t afford it,Quite sure,No,Quite sure,,20,Question skipped,Yes,,Can’t afford it,Option A,,No changes to current situation,2,50%,90%,£1,4,5%,10%,£1,3,10%,90%,£5,3,10%,40%,£1,Option A,Option A,Option A,Option A,Quite sure,3,3,3,Some of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Little knowledge,Don’t know,3,Bachelor’s degree,Full-time employment,Yes,£2501-£3000,10 - Perfectly clear,Chosen,No further comments
6,282,2,Yes,Female,56-70,0-2 miles,6+,Average knowledge,60,5,No,Quite sure,,cost,Quite sure,No,Quite sure,,2,Question skipped,Yes,,cost,Option A,,performance and price,2,50%,90%,£1,3,5%,4%,£0.50,2,5%,10%,£1,2,50%,10%,£2.50,Option A,Option A,Option A,Option A,Quite sure,3,2,3,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,No,2,A level or college equivalent,Retired,No,£3001-£4000,8,Chosen,No further comments
7,131,1,Yes,Female,26-39,3-10 miles,03-May,Little knowledge,60,50,Yes,Very sure,,,Question skipped,Yes,Very sure,100,,Yes,Question skipped,,,Option A,Chosen,Don't know,4,10%,10%,£2.50,1,10%,10%,£0.50,3,10%,90%,£5,1,50%,10%,£0.50,Option B,Option B,Option A,Option B,Very sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,Some of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,Average knowledge,Yes,3,Bachelor’s degree,Part-time employment,No,£1501-£2000,6,Chosen,No further comments
8,601,1,Yes,Male,40-55,0-2 miles,6+,Strong knowledge,30,40,Yes,Quite sure,,,Question skipped,Yes,Quite sure,80,,No,Question skipped,,,Option A,,The price rise in option B ws way to much,2,50%,90%,£1,2,5%,40%,£2.50,2,5%,10%,£1,1,50%,10%,£0.50,Option B,Option A,Option B,Option B,Very sure,3,5 – Completely agree,5 – Completely agree,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Strong knowledge,Yes,4,GCSE’s / O levels,Full-time employment,Yes,£1001-£1500,10 - Perfectly clear,,Excellent survey
9,277,1,Yes,Female,18-25,3-10 miles,6+,Good knowledge,50,10,No,Quite sure,,£50 would be to much of an extra cost,Quite sure,Yes,Quite sure,20,,Yes,Question skipped,,,Option B,Chosen,Don't know,4,10%,10%,£2.50,3,5%,4%,£0.50,1,5%,90%,£2.50,1,50%,10%,£0.50,Option B,Option B,Option B,Option B,Quite sure,3,3,3,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Yes,3,A level or college equivalent,Part-time employment,Yes,£501-£1000,10 - Perfectly clear,Chosen,No further comments
11,336,1,Yes,Male,56-70,50+ miles,01-Feb,Average knowledge,40,60,No,Very sure,,Would not be able to afford it,Very sure,No,Very sure,,30,Question skipped,No,,Would find the extra payment very hard,Option A,Chosen,Don't know,4,10%,10%,£2.50,2,5%,40%,£2.50,1,5%,90%,£2.50,2,50%,10%,£2.50,Option A,Option A,Option B,Option A,Very sure,2,2,4,Some of it,Chosen,Chosen,Not chosen,Not chosen,Not chosen,,No,Little knowledge,No,3,GCSE’s / O levels,Full-time employment,Yes,£2001-£2500,10 - Perfectly clear,Chosen,No further comments
12,595,1,Yes,Male,26-39,50+ miles,03-May,Average knowledge,10,20,Yes,Very sure,,,Question skipped,Yes,Very sure,40,,Yes,Question skipped,,,Option A,,"I would paying more, for a product that is less effective, for seemingly no environmental gain.",1,50%,40%,£5,1,10%,10%,£0.50,2,5%,10%,£1,3,10%,40%,£1,Option B,Option B,Option B,Option B,Very sure,3,4,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,Yes,Average knowledge,Yes,4,Postgraduate degree,Full-time employment,Yes,£2001-£2500,10 - Perfectly clear,Chosen,No further comments
13,502,1,Yes,Female,56-70,3-10 miles,01-Feb,Average knowledge,30,30,Yes,Quite sure,,,Question skipped,Yes,Quite sure,60,,No,Question skipped,,,Option A,,the net benefit of Option B was not appealing enough,3,5%,10%,£5,3,5%,4%,£0.50,3,10%,90%,£5,1,50%,10%,£0.50,Option B,Option B,Option B,Option A,Very sure,4,5 – Completely agree,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Average knowledge,Yes,4,A level or college equivalent,Retired,No,£4001-£5000,9,,I enjoyed the survey overall but felt that some explanations were on the lengthy side!
14,794,1,Yes,Male,56-70,3-10 miles,6+,Little knowledge,20,70,No,Quite sure,,There would be no immediate effect and the research would likely go on indefinitly,Quite sure,Yes,Very sure,140,,No,Question skipped,,,Option A,,There was no reduction in the amount of microplastics released,2,50%,90%,£1,2,5%,40%,£2.50,1,5%,90%,£2.50,3,10%,40%,£1,Option B,Option B,Option B,Option B,Very sure,3,3,5 – Completely agree,None of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Average knowledge,Don’t know,3,GCSE’s / O levels,Retired,Yes,Prefer not to say,10 - Perfectly clear,Chosen,No further comments
