"","ID","Timing","Order","Q1Gender","Q2Age","Q3Distance","Q4Trips","Q5Knowledge","Q6Bid","Q7Bid","Q6ResearchResponse","Q6ResearchCertainty","Q7TreatmentResponse","Q7TreatmentCertainty","Q7Bid2Upper","Q7Bid2Lower","Q7TreatmentUpperResponse","Q7TreatmentLowerResponse","Q8DominatedTest","Q9Block","Q9Performance","Q9Emission","Q9Price","Q10Block","Q10Performance","Q10Emission","Q10Price","Q11Block","Q11Performance","Q11Emission","Q11Price","Q12Block","Q12Performance","Q12Emission","Q12Price","Q9Choice","Q10Choice","Q11Choice","Q12Choice","Q12CECertainty","Q13CurrentThreatToSelf","Q14FutureThreatToSelf","Q15ThreatToEnvironment","Q16BP","Q17_Firms","Q17_Cons","Q17_Gov","Q17_LA","Q17_Other","Q18Charity","Q19Knowledge","Q20Consequentiality","Q21Experts","Q22Education","Q23Employment","Q24RonaImpact","Q24AIncome","Q25Understanding","Q7Bid2","Q7Response2","IncomeDummy"
"1",1,194,1,1,32.5,50,1,3,60,60,1,1,1,2,2,NA,1,NA,0,2,0.05,0.1,5,0,0.1,0.1,0.5,0,0.05,0.9,2.5,2,0.1,0.4,1,1,0,1,0,1,3,3,3,1,1,1,0,0,0,0,2,0,3,3,4,0,750,8,120,1,0
"2",2,347,1,0,47.5,35,0,2,40,40,0,1,0,1,NA,3,NA,1,0,1,0.5,0.9,1,3,0.05,0.1,2.5,2,0.1,0.9,5,2,0.1,0.4,1,0,0,0,0,1,3,3,3,1,1,0,0,0,0,0,2,1,3,3,6,1,2750,10,20,1,1
"3",3,282,1,0,63,1,3,3,60,5,0,1,0,1,NA,2,NA,1,0,1,0.5,0.9,1,2,0.05,0.4,0.5,1,0.05,0.1,1,1,0.5,0.1,2.5,0,0,0,0,1,3,2,3,0,1,1,1,1,0,0,2,0,2,2,2,0,3500,8,2,1,1
"4",4,131,0,0,32.5,6.5,2,2,60,50,1,2,1,2,1,NA,1,NA,0,3,0.1,0.1,2.5,0,0.1,0.1,0.5,2,0.1,0.9,5,0,0.5,0.1,0.5,1,1,0,1,2,5,5,5,1,0,0,1,0,0,0,3,2,3,3,4,0,1750,6,100,1,0
"5",5,601,0,1,47.5,1,3,5,30,40,1,1,1,1,10,NA,0,NA,0,1,0.5,0.9,1,1,0.05,0.4,2.5,1,0.05,0.1,1,0,0.5,0.1,0.5,1,0,1,1,2,3,5,5,0,1,1,1,1,0,0,5,2,4,1,6,1,1250,10,80,0,0
"6",6,277,0,0,21.5,6.5,3,4,50,10,0,1,1,1,6,NA,1,NA,1,3,0.1,0.1,2.5,2,0.05,0.4,0.5,0,0.05,0.9,2.5,0,0.5,0.1,0.5,1,1,1,1,1,3,3,3,1,1,1,1,1,0,0,3,2,3,2,4,1,750,10,20,1,0
"7",7,336,0,1,63,50,1,3,40,60,0,2,0,2,NA,5,NA,0,0,3,0.1,0.1,2.5,1,0.05,0.4,2.5,0,0.05,0.9,2.5,1,0.5,0.1,2.5,0,0,1,0,2,2,2,4,1,1,1,0,0,0,0,2,0,3,1,6,1,2250,10,30,0,1
"8",8,595,0,1,32.5,50,2,3,10,20,1,2,1,2,8,NA,1,NA,0,0,0.5,0.4,5,0,0.1,0.1,0.5,1,0.05,0.1,1,2,0.1,0.4,1,1,1,1,1,2,3,4,5,1,1,1,1,1,0,1,3,2,4,4,6,1,2250,10,40,1,1
"9",9,502,0,0,63,6.5,1,3,30,30,1,1,1,1,9,NA,0,NA,0,2,0.05,0.1,5,2,0.05,0.4,0.5,2,0.1,0.9,5,0,0.5,0.1,0.5,1,1,1,0,2,4,5,5,1,1,1,1,0,0,0,3,2,4,2,2,0,4500,9,60,0,1
"10",10,794,0,1,63,6.5,3,2,20,70,0,1,1,2,3,NA,0,NA,0,1,0.5,0.9,1,1,0.05,0.4,2.5,0,0.05,0.9,2.5,2,0.1,0.4,1,1,1,1,1,2,3,3,5,0,1,1,1,0,0,0,3,1,3,1,2,1,3500,10,140,0,1
"11",11,484,0,1,47.5,50,0,4,5,30,1,2,1,2,9,NA,1,NA,1,2,0.05,0.1,5,0,0.1,0.1,0.5,2,0.1,0.9,5,0,0.5,0.1,0.5,0,0,1,0,2,3,4,5,2,1,1,1,1,0,2,4,2,5,3,6,0,2250,10,60,1,1
"12",12,416,0,0,32.5,15.5,3,2,30,20,1,1,1,2,8,NA,1,NA,0,2,0.05,0.1,5,2,0.05,0.4,0.5,0,0.05,0.9,2.5,3,0.05,0.1,5,0,1,1,0,1,2,3,3,0,1,1,1,1,0,0,3,2,3,3,6,0,1750,10,40,1,0
"13",13,459,1,0,47.5,6.5,3,2,60,40,0,2,0,2,NA,3,NA,0,0,2,0.05,0.1,5,2,0.05,0.4,0.5,1,0.05,0.1,1,1,0.5,0.1,2.5,0,1,0,0,2,3,3,4,1,1,0,1,0,0,1,3,0,3,4,6,1,1750,10,20,0,0
"14",14,164,1,0,21.5,15.5,1,3,30,40,1,1,0,0,NA,3,NA,0,1,2,0.05,0.1,5,2,0.05,0.4,0.5,2,0.1,0.9,5,0,0.5,0.1,0.5,1,1,1,0,2,5,3,2,0,1,0,1,1,0,2,2,2,5,3,4,1,750,10,20,0,0
"15",15,156,1,1,47.5,50,2,3,5,40,1,2,1,2,10,NA,1,NA,0,1,0.5,0.9,1,2,0.05,0.4,0.5,1,0.05,0.1,1,2,0.1,0.4,1,0,0,0,1,2,3,3,3,1,0,1,0,0,0,1,2,2,2,4,6,1,2250,5,80,1,1
"16",16,204,1,1,47.5,15.5,2,4,50,40,0,1,0,2,NA,3,NA,1,0,1,0.5,0.9,1,2,0.05,0.4,0.5,3,0.05,0.9,0.5,1,0.5,0.1,2.5,0,0,0,0,2,4,4,3,1,0,0,1,0,0,0,4,2,4,4,6,0,5000,9,20,1,1
"17",17,667,1,0,32.5,35,2,3,10,30,1,1,0,2,NA,1,NA,0,1,3,0.1,0.1,2.5,3,0.05,0.1,2.5,2,0.1,0.9,5,3,0.05,0.1,5,1,1,1,1,2,5,5,4,0,1,0,1,1,0,0,3,0,5,2,6,1,2250,10,15,0,1
"18",18,660,1,0,47.5,1,3,1,5,40,0,2,0,2,NA,3,NA,0,1,1,0.5,0.9,1,1,0.05,0.4,2.5,1,0.05,0.1,1,0,0.5,0.1,0.5,1,1,1,1,2,5,5,5,2,1,1,1,1,0,0,2,2,5,2,4,1,750,10,20,0,0
"19",19,334,1,0,47.5,35,2,3,50,60,1,0,1,1,2,NA,0,NA,0,1,0.5,0.9,1,2,0.05,0.4,0.5,1,0.05,0.1,1,2,0.1,0.4,1,0,1,1,1,2,4,4,5,1,1,1,1,1,0,1,3,1,4,3,6,1,2250,7,120,0,1
"20",20,617,0,1,63,15.5,1,1,10,20,0,2,0,2,NA,0,NA,0,0,2,0.05,0.1,5,1,0.05,0.4,2.5,0,0.05,0.9,2.5,3,0.05,0.1,5,0,0,0,0,2,3,3,3,0,0,0,1,0,0,0,1,1,4,1,6,1,2250,6,10,0,1
"21",21,755,1,0,47.5,1,3,4,40,30,1,1,1,2,9,NA,1,NA,1,0,0.5,0.4,5,1,0.05,0.4,2.5,1,0.05,0.1,1,0,0.5,0.1,0.5,0,1,1,0,1,4,4,4,1,1,1,1,1,1,1,4,2,4,2,4,1,1750,10,60,1,0
"22",22,495,0,0,63,35,2,3,70,40,0,2,0,0,NA,3,NA,1,1,2,0.05,0.1,5,3,0.05,0.1,2.5,1,0.05,0.1,1,1,0.5,0.1,2.5,1,1,1,0,1,3,4,5,1,1,1,1,1,0,0,3,0,4,3,4,1,2250,6,20,1,1
"23",23,245,1,1,32.5,50,1,2,50,40,0,1,0,1,NA,3,NA,0,0,3,0.1,0.1,2.5,3,0.05,0.1,2.5,1,0.05,0.1,1,1,0.5,0.1,2.5,0,0,0,0,1,3,3,3,0,0,0,1,0,0,0,2,2,3,2,6,1,1250,7,20,0,0
"24",24,500,1,1,47.5,35,0,3,10,10,0,2,0,2,NA,9,NA,0,0,2,0.05,0.1,5,2,0.05,0.4,0.5,2,0.1,0.9,5,2,0.1,0.4,1,0,1,0,1,2,2,2,4,0,1,0,0,0,0,0,3,0,4,3,6,0,1250,10,5,0,0
"25",25,418,1,1,32.5,1,3,4,60,70,0,2,0,2,NA,6,NA,1,1,1,0.5,0.9,1,2,0.05,0.4,0.5,2,0.1,0.9,5,2,0.1,0.4,1,1,1,1,1,2,5,5,5,1,1,1,1,0,0,1,4,2,4,4,6,0,4500,10,35,1,1
"26",26,608,1,1,63,15.5,3,3,70,70,0,2,1,1,3,NA,1,NA,0,1,0.5,0.9,1,0,0.1,0.1,0.5,2,0.1,0.9,5,0,0.5,0.1,0.5,1,1,1,0,1,4,4,5,1,1,1,1,1,0,0,3,1,3,3,2,0,2750,9,140,1,1
"27",27,694,1,1,32.5,35,1,5,20,30,1,2,1,2,9,NA,1,NA,0,1,0.5,0.9,1,3,0.05,0.1,2.5,2,0.1,0.9,5,0,0.5,0.1,0.5,1,1,1,0,1,3,5,3,1,1,0,0,0,0,1,3,2,4,4,4,1,5000,10,60,1,1
