"Timestamp","I agree to take part in this survey under the conditions explained to me above:","Please specify your gender:","Please specify your current age:","Approximately how far would you say you live from the coast?","On average, how many trips do you make to the coast annually?","Would your household be willing to pay £5 per year in extra annual income tax to implement this policy?","For those against paying anything for this policy, could you please describe why?","What payment would you choose?","Scenario One: Please Indicate which option you prefer","Scenario Two: Please Indicate which option you prefer","Scenario Three: Please Indicate which option you prefer","""I feel like I can do something about plastic waste in the sea""","Please indicate the degree to which you think marine plastic pollution presents a threat to yourself","Please indicate the degree to which you think marine plastic pollution presents a threat to others","Please indicate the degree to which you think marine plastic pollution presents a threat to the marine environment","Have you seen the 'Blue-Planet II' TV series?","Who do you think has the responsibility for reducing marine plastics? Please select as many as you think","Have you ever donated/been a member of a charity related to environmental causes?","Could you please indicate your understanding of marine microplastics? Select one.","Do you think the results of this survey will matter to how companies and regulators change their behaviour?","How confident are you in the ability of experts to provide reliable information about marine pollution?","Could you indicate your highest completed level of education?","How would you describe your current employment status?","Could you please indicate your approximate average monthly income before tax?","On a scale of 1-10, how easy was this survey to understand?","As this is the pilot version we are looking for any and all comments and thoughts on the survey before the main effort. As such, if you were running this survey what would you do differently? "
"2020/01/27 6:03:41 PM GMT","Yes","Male","18-25","26 - 50 miles","1 - 2","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","1","3","5","5","No","Consumers;Government;Local authorities","No","I had a weak understanding of microplastics before taking this survey","No","4","A level or college equivalent","Student","£0 - 500","7","Nothing."
"2020/01/27 6:05:31 PM GMT","Yes","Male","18-25","100+ miles","1 - 2","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","4","5","5","5","Yes","Consumers;Government;Local authorities;All humans: we must unite to be as efficient as possible. As an engineer it is my duty to innovate and optimise existing processes to help humanity and minimise the harm to the environment for the survival of our species.","No","I had a weak understanding of microplastics before taking this survey","Yes","5","Bachelors degree","Part time employment","Prefer not to say","10","Highlight how this survey may help solve this problem? "
"2020/01/27 6:31:46 PM GMT","Yes","Female","18-25","0 - 25 miles","1 - 2","Yes","","£10 – I am willing and able to pay £10 a year in extra income tax for microplastics to be immediately banned although their effects are unknown.","Alternative","Alternative","Alternative","5","2","2","4","Yes","Consumers;Government;Local authorities","Yes","I had an average understanding of microplastics before taking this survey","Yes","3","Postgraduate degree","Student","£0 - 500","10","None, all really simple!"
"2020/01/27 6:41:04 PM GMT","Yes","Female","26-39","26 - 50 miles","6+","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Status Quo","2","4","4","5","No","Consumers;Government","Yes","I had a weak understanding of microplastics before taking this survey","No","5","Postgraduate degree","Self-Employed","£1001 - £1500","4","Questions seem a bit biased to be honest. The pre-framing information evokes the feel that microplastics are  a threat. The status quo/alternative style questioning seemed odd, even gimmicky. But then again, not my field of science so I just may be biased. Good cause! "
"2020/01/27 6:42:25 PM GMT","Yes","Female","40-55","100+ miles","1 - 2","Yes","","£10 – I am willing and able to pay £10 a year in extra income tax for microplastics to be immediately banned although their effects are unknown.","Alternative","Alternative","Alternative","3","4","4","5","Yes","Consumers;Government;Environmental groups","Yes","I had a strong understanding of microplastics before taking this survey","No","2","Postgraduate degree","Full time employment","£5000+","10","I understand microplastics (my undergraduate and postgraduate degrees are both in environmental topics) but for those who don't, perhaps include pictures along with the text to quickly and clearly explain what they are and their effects."
"2020/01/27 6:43:33 PM GMT","Yes","Male","18-25","0 - 25 miles","1 - 2","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Status Quo","Status Quo","2","3","3","4","No","Consumers;Government;Local authorities","No","I had a weak understanding of microplastics before taking this survey","No","3","Postgraduate degree","Full time employment","£1501 - £2000","7","I’d try and explain more what the government would do with the extra money raised from tax. Invest in tech to clean ocean, fund subcontractors to clean the ocean, use the money to regulate and enforce regulations upon firms.. depending on the policy, I would not contribute a penny. "
"2020/01/27 6:45:38 PM GMT","Yes","Female","18-25","0 - 25 miles","6+","No","Whilst I'm not against tax being used for this purpose I have the following questions/points about the way in which this would work:
1. Why would it be £5 as an absolute value and not as a percentage of earnings?
2. Would corporations and governments be contributing at a higher level or is this a consumer shouldered cost? It seems that the majority of green incentives currently only go ahead if the consumer pays the extra (and often the corporations profit - I.e. plastic bag cost) this seems unjust.","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","4","4","4","5","Yes","Government","Yes","I had a strong understanding of microplastics before taking this survey","Yes","5","Postgraduate degree","Student","£501 - £1000","10","Good survey :) You could have the who is responsible question as to what extent would each be responsible, not an absolute yes/no. This could be quite interesting?
Also male/female isn't the same as gender (sorry, I am going to be that person... it should be gender: man/woman/other... or sex: male/female/other)"
"2020/01/27 6:46:16 PM GMT","Yes","Female","26-39","51 - 100 miles","6+","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","4","3","4","5","No","Consumers;Government","Yes","I had a weak understanding of microplastics before taking this survey","Yes","3","Postgraduate degree","Student","£1001 - £1500","9","Make some of the text font larger to make it easier to read
"
"2020/01/27 6:46:16 PM GMT","Yes","Female","18-25","0 - 25 miles","1 - 2","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","4","4","4","5","Yes","Consumers;Government;Local authorities","No","I had an average understanding of microplastics before taking this survey","Yes","4","A level or college equivalent","Student","Prefer not to say","8","Nothing"
"2020/01/27 6:49:11 PM GMT","Yes","Female","56-70","0 - 25 miles","6+","Yes","","£10 – I am willing and able to pay £10 a year in extra income tax for microplastics to be immediately banned although their effects are unknown.","Alternative","Alternative","Alternative","5","5","5","5","Yes","Consumers;Government;Local authorities","Yes","I had an average understanding of microplastics before taking this survey","No","4","A level or college equivalent","Full time employment","£3001 - £4000","9","Explain the status quo/alternative questions a bit more"
